ID,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,1797882,R3I2DHQBR577SS,B001ANOOOE,2102612,"The Naked Bee Vitmin C Moisturizing Sunscreen SPF 30, 5.5 oz (163 ml.)",Beauty,5,0,0,0,1,Five Stars,"Love this, excellent sun block!!",31/08/2015
1,US,18381298,R1QNE9NQFJC2Y4,B0016J22EQ,106393691,"Alba Botanica Sunless Tanning Lotion, 4 Ounce",Beauty,5,0,0,0,1,Thank you Alba Bontanica!,The great thing about this cream is that it doesn't smell weird like all those chemical laden ones.  I get a nice healthy un-fake looking tan that isn't orange and it makes my skin soft too.,31/08/2015
2,US,19242472,R3LIDG2Q4LJBAO,B00HU6UQAG,375449471,"Elysee Infusion Skin Therapy Elixir, 2oz.",Beauty,5,0,0,0,1,Five Stars,"Great Product, I'm 65 years old and this is all it claims to be!",31/08/2015
3,US,19551372,R3KSZHPAEVPEAL,B002HWS7RM,255651889,"Diane D722 Color, Perm And Conditioner Processing Caps - 100-Pack - Clear",Beauty,5,0,0,0,1,GOOD DEAL!,I use them as shower caps & conditioning caps. I like that they're in bulk. It saves a lot of money.,31/08/2015
4,US,14802407,RAI2OIG50KZ43,B00SM99KWU,116158747,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),Beauty,5,0,0,0,1,this soaks in quick and provides a nice base for makeup,"This is my go-to daily sunblock. It leaves no white cast at all and has a clean, pleasant scent. If you're a makeup wearer, this soaks in quick and provides a nice base for makeup. I've been using this brand for over a year. With daily use, this tube will last you a couple months.",31/08/2015
5,US,2909389,R1R30FA4RB5P54,B000NYL1Z6,166146615,Murad Clarifying Cleanser,Beauty,4,0,0,0,1,Four Stars,Good,31/08/2015
6,US,19397215,R30IJKCGJBGPJH,B001SYWTFG,111742328,CoverGirl Queen Collection Perfect Point Plus Eyeliner Black Onyx 200,Beauty,5,0,0,0,1,Good buy,"Great eyeliner, does run just a little bit at corners at times, but overall, it does keep on your eyes all day long.",31/08/2015
7,US,3195210,R18GLJJPVQ1OVH,B005F2EVMQ,255803087,"Bifesta Mandom Eye Makeup Remover, 145ml",Beauty,5,0,0,0,1,Five Stars,Best makeup removerï¼�,31/08/2015
8,US,52216383,R8TVYIJXLYJT0,B00M1SUW7K,246816549,"Can You Handlebar All-Natural Secondary Moustache Wax : Extra Strength, Firm Hold",Beauty,5,0,0,0,1,Tame the wild mustache,"This is a great product. I'm on my latest stab at a major beard, and I always seem to start growing them during the hottest months. My mustache is going through a particularly awkward phase of growth, and this wax really helps keep it in place, out of the way. I look neater and I can actually eat and drink again without collecting a big mess. If you're going to get this, do yourself a favor and get a good mustache comb.",31/08/2015
9,US,10278216,R1CJGF6M3PVHEZ,B001KYQA1S,9612905,"Maybelline Great Lash Washable Mascara, Clear [110], 1 ea",Beauty,1,0,2,0,1,but it's like having nothing on them at all,"I thought it would darken the lashes even though it's clear, but it's like having nothing on them at all. Sadly I threw it away.",31/08/2015
10,US,24655453,R2A30ALEGLMCGN,B00SAQ9DZY,292127037,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",Beauty,4,1,1,0,1,Good Product,"These are great for small mixtures for EO's, especially for traveling.  I only gave this 4 stars because of the orifice reducer.  The hole is so small it is hard to get the oil out.  Just needs to be slightly bigger.",31/08/2015
11,US,30788223,R134GP1Y3EQZ1L,B00HFQQ0VU,311309827,Waterpik Aquarius Water Flosser,Beauty,5,0,0,0,1,Optimum Oral Health,Just got this.  Nice size and very compact.  I am looking forward to the gum massaging.  I wore out my last model.,31/08/2015
12,US,11257536,R6CE3SOIUJGP4,B00PYL8MAA,390030149,"Proganix Agave Nectar Plus Silica Curling Cream Plus Defrizzant, 6 Ounce",Beauty,4,1,1,0,0,Love this cream !,Wish I had discovered this years ago ! Leaves my curles super defined and soft !!!. I still need to put on gel or spray for it to last though but it is super recommend it!,31/08/2015
13,US,29605778,R37CDLQZUPDZVM,B00D9NV2D4,794858888,Shea Butter,Beauty,5,0,0,0,1,It works so much better than store bought lotion,I bought this to make my own lotion. I mixed the shea butter and coconut oil together. It works so much better than store bought lotion! I want to get some raw cocoa butter to mix in with the next batch.,31/08/2015
