ID,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,24509695,R3VR960AHLFKDV,B004HB5E0E,488241329,Shoal Creek Computer Desk,Furniture,4,0,0,0,1,"... desk is very study and it i has a beautiful finish, I think that it a just a ...","This desk is very study and it i has  a beautiful finish,  I think that it a just a little  pricey for the size.",31/08/2015
1,US,34731776,R16LGVMFKIUT0G,B0042TNMMS,205864445,Dorel Home Products Delaney Large Rectangular Ottoman,Furniture,5,0,0,0,1,Five Stars,Great item,31/08/2015
2,US,1272331,R1AIMEEPYHMOE4,B0030MPBZ4,124663823,Bathroom Vanity Table Jewelry Makeup Desk Bench Drawer Hair Dressing Organizer,Furniture,5,1,1,0,1,Five Stars,"Perfect fit for my bedroom, been wanting one since I was a little girl",31/08/2015
3,US,45284262,R1892CCSZWZ9SR,B005G02ESA,382367578,Sleep Master Ultima Comfort Memory Foam 6 Inch Mattress,Furniture,3,0,0,0,1,Good enough,"We use this on a trundle bed.  So, it does not get that much use.  This was a much better choice than getting a low end spring mattress for the same price.  I do not think I would use this on anything other than a trundle.",31/08/2015
4,US,30003523,R285P679YWVKD1,B005JS8AUA,309497463,"1 1/4"" GashGuards: Deluxe Rubberized Plastic Bed Frame End Caps, Set of 2",Furniture,3,0,0,0,0,Gash Gards for daybed,The product is fine...just seemed like it took awhile in the mail for something small you could throw in an envelope and mail.  Not unhappy just moderately satisfied.,31/08/2015
5,US,18311821,RLB33HJBXHZHU,B00AVUQQGQ,574537906,Serta Bonded Leather Big & Tall Executive Chair,Furniture,5,0,0,0,1,Five Stars,"Love this product, amazing delivery, thank you",31/08/2015
6,US,42943632,R1VGTZ94DBAD6A,B00CFY20GQ,407473883,Prepac Shoe Storage Cubbie Bench,Furniture,5,2,2,0,1,I love this bench,"I love this bench, had one in Black for over five years, and moved it more than 5 times to different houses after a few chips and broken pieces, I decided to buy the White one as it matches our current home decor better, plus it is much easier to locate shoes especially black ones! the black cubbie bench was too dark, and most of our shoes blended in and hard to see. This is perfect. Easy to put together. I painted the back white as well, as it was going in an area with the all sides shown.",31/08/2015
7,US,43157304,R168KF82ICSOHD,B00FKC48QA,435120460,HomCom PU Leather Storage Bench Ottoman w/ 4 Trays - Brown,Furniture,5,0,0,0,1,Great storage capacity,Have had this for over a year.  Very well made and durable!  Great storage capacity.,31/08/2015
8,US,51918480,R20DIYIJ0OCMOG,B00N9IAL9K,356495985,Folding Step Stool,Furniture,5,0,0,0,1,This is the best step stool I have ever used,This is the best step stool I have ever used.  So compact when collapsed so is very easy to store.. no hidden latches.  Have already recommended to friends.,31/08/2015
9,US,14522766,RD46RNVOHNZSC,B001T4XU1C,243050228,Ace Bayou Adult Video Rocker,Furniture,5,0,0,0,1,great for price!,my son loves it!,31/08/2015
10,US,43054112,R2JDOCETTM3AXS,B002HRFLBC,93574483,"4D Concepts Audio Entertainment Stand, Cherry",Furniture,5,0,0,0,1,Five Stars,Great product,31/08/2015
11,US,26622950,R33YMW36IDZ6LE,B006MISZOC,941823468,"Zinus SC-SBBK-14NT-FR Smartbase Bed Frame Metal, Narrow Twin",Furniture,5,0,0,0,1,perfect,bought with sleep contour 8&#34; foam. arrived ontime and my kid had no trouble assembling it. shipped it to his off campus apt.. he says its most comfortable bed hes ever owned!,31/08/2015
12,US,17988940,R30ZGGUHZ04C1S,B008BMGABC,460567746,"Poundex Marble Dining Table, 4 Counter Height Chairs",Furniture,5,1,1,0,1,Very satisfied!!!,Delivery was on time. I was very satisfied with the product. The table is very sturdy and it exceeds my expectations!,31/08/2015
13,US,18444952,RS2EZU76IK2BT,B00CO2VH5Y,829613894,"Safavieh Lyndhurst Collection LNH312B Traditional Oriental Light Blue and Ivory Area Rug (5'3"" x 7'6"")",Furniture,5,0,0,0,1,soft and great for in front of a sofa,"Exactly as pictured. Plush, soft and great for in front of a sofa.",31/08/2015
14,US,16937084,R1GJC1BP028XO9,B00LI4RJQ0,816478187,Sauder Boone Mountain Coffee Table,Furniture,5,2,3,0,1,Great table.,"Beautiful table.  It's good quality and heavy.  Put it together by myself, it took about 3 hours, but the instructions were the best and clearest of any item I've had to build.  I was worried because it looked like there was a crack in the top of the table itself until I looked closer - that's how good the laminate is, it REALLY looks real.  Love it and would purchase again.",31/08/2015
15,US,23665632,R2VKJPGXXEK5GP,B0046EC1D0,358594389,Winsome Wood Breakfast Bed Tray with Handle Foldable Legs,Furniture,1,0,0,0,1,Not what I expected in a bed tray or lap tray,"I have cleaned up the last mess from using this tray, the legs collapsed again. It was also much larger and bulkier than I wanted.<br />But if your looking for a big tray without a lot of support this is the one.",31/08/2015
16,US,4110125,R17KS83G3KLT97,B00DQQPL36,312571325,HODEDAH IMPORT Metal Bed,Furniture,3,0,0,0,1,Three Stars,First one came in damaged. Ok bed for the price.,31/08/2015
17,US,107621,R3PQL8SR4NEHWL,B003X7RWB2,402665054,Flash Furniture Hercules Series 800-Pound Premium Plastic Folding Chair,Furniture,4,0,0,0,1,Four Stars,Good deal to get a nice chair for study in a low price,31/08/2015
18,US,2415090,R2F5WW7WNO5RRG,B001TJYPJ8,854989315,Sleep Revolution Better Than a Box Spring - Queen,Furniture,5,0,0,0,1,Five Stars,Comfortable and easy to fix...,31/08/2015
19,US,48285966,R3UDJKVWQCFIC9,B000TMHX9A,814079288,Flash Furniture Vibrant Apple Green Tractor Seat and Chrome Stool,Furniture,5,0,0,0,1,Very comfortable. Great color,As advertised. Very comfortable. Great color. Prompt delivery.,31/08/2015
20,US,33228559,R1MLGVJH3J5W6N,B005MZBB2O,523675277,Amelia Floral Muti Contemporary Rug,Furniture,5,0,0,0,1,Wonderful rug,Very nice rug for a reasonable price. Exceeded my expectations.,31/08/2015
21,US,11600823,R38JYICG7ESAZP,B00JITHL9C,403803724,"Classic Brands Low Profile Foundation Box Spring, 4-Inch",Furniture,5,3,3,0,1,Good USA made product.,"Product was as described. Delivered on time. Overall a sturdy box spring. Not at all difficult to put together. We bought Mom a tall foam mattress from Costco. With this low profile box spring my Mother has no problems get in and out of bed now. Also good quality materials for the price, which wasn't bad either. I recommend and will purchase again if needed.",31/08/2015
22,US,20252477,R3SMFDAWU2V153,B003HEPHUE,735341854,Etna Sofa Side Table (Black),Furniture,3,0,0,0,1,Three Stars,Functional but too lightweight - I ordered 2 and attached them together,31/08/2015
23,US,12546512,R2OM7LJ7CY084O,B007EEG7M0,336731383,"Range Kleen SS2 Double Step Stool, Gray",Furniture,5,0,1,0,1,Five Stars,I love these stools. Perfect for a toddler. I had to order another one,31/08/2015
24,US,5395378,R1ZG4UWGK123C3,B004LQ1RJ2,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,0,0,0,1,Five Stars,so comfortable!,31/08/2015
25,US,34857314,R1ZOEOSEMAITN6,B000RPVKPC,269111919,Coaster Home Furnishings  5 Piece Modern Transitional Square Counter Height Dining Set - Cappuccino,Furniture,5,0,0,0,1,Five Stars,Love it!! Easy assembly and nice quality.  Great table for the price.,31/08/2015
26,US,26511421,R38HR07J1KN5TE,B009QDA1LA,119886213,Universal Bed Slats Center Support System Adjustable Tubular Steel with 4 Legs,Furniture,5,0,0,0,1,Very sturdy,"These rescued  my son's bed from the floor. Was easy to install and has legs for support, wooden slats did not. Very happy! Thank you",31/08/2015
27,US,16003911,R2H0KEDDT8GYB,B0063GICPU,222554214,Air Dream Replacement Air Chamber Full,Furniture,5,0,0,0,1,Five Stars,Replacement for the one in RV that had a blow out. Husband loves this air mattress.,31/08/2015
28,US,53046326,R1ACBDB2E2K2VQ,B00H8I4C0Q,307258068,"DHP 3246198 Bombay Metal Bed, Full, White",Furniture,2,1,1,0,1,Not for every day use. Support leg underneath bent ...,Not for every day use. Support leg underneath bent in just a few weeks with a normal sized teenager. Maybe okay for a small child.,31/08/2015
29,US,28540301,R2JXCWADAWWAUJ,B00R6OX5MS,63984799,Sleep Master BiFold Box Spring Folding Mattress Foundation,Furniture,1,1,4,0,1,One Star,Saggy mattress,31/08/2015
30,US,52982007,R3F3L13BN326E1,B00M0O4GAO,183101067,"Flex Form Lucia Platform Bed, Full",Furniture,5,1,1,0,1,Very happy with this frame,This is a nice frame.  Fairly easy to set up and it looks very nice.,31/08/2015
31,US,12385500,RNBU6YSRIYWFN,B005A4OP8Y,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,0,0,0,1,Finding this item on Amazon with Free Shipping was perfect! Easy to get upstair and unwrapped - The ...,Since I do not own a truck I contemplated how to get a queen size mattress home which my daughter needed for her new bed frame. Finding this item on Amazon with Free Shipping was perfect! Easy to get upstair and unwrapped - The mattress comfort is excellent and the price could not be beat anywhere in my town - Best Purchase Ever!,31/08/2015
32,US,15775828,RNFD1XU24UJSE,B00SA6DT36,111245804,Red Color Modern Circles Design Area Rug,Furniture,3,0,0,0,1,not as cushion-y as I would have liked but it's okay,"It's the right size but the padding is really thin, not as cushion-y as I would have liked but it's okay.",31/08/2015
33,US,6851307,R3KMK2518BXF1A,B00166DUSG,226363481,Walker Edison Soreno 3-Piece Corner Desk,Furniture,5,0,0,0,1,Great buy!!,Absolute steal!! This desk is very cheap and is so awesome! I love it already! It is a great use of space!,31/08/2015
34,US,15227445,R1S6KLPH4K9TV8,B000M5QW96,160443433,Jewel Tone Red Southwestern Rug,Furniture,1,2,2,0,1,but the center image was well off-center and looked pretty awful.,"Not only did the design not match the photo, but the center image was well off-center and looked pretty awful.",31/08/2015
35,US,27465660,R3E9HAPICMCC96,B001G0NNX4,67553280,"South Shore Furniture, Little Treasures Collection, Night Table, Country Pine",Furniture,4,1,1,0,1,... forever to put together for small table but I love the look of it,"This took forever to put together for small table but I love the look of it. One of the holes wasn't pre-drilled so that was a little of a challenge but I made it work. We bought the set (headboard, night stand, dresser) for my sons room and am very happy with the purchase.",31/08/2015
36,US,7502102,R1OKOOJ8161SDN,B004XYNDO4,933322315,"Winsome Wood Assembled 30-Inch Swivel Stools, Set of 2",Furniture,2,0,0,0,1,Two Stars,"Very uncomfortable, hurt my butt and edge cuts into your hamstring after sitting on them for a few minutes.",31/08/2015
37,US,42392807,RX462TJGGWPFC,B004773CLQ,782788746,SEI Navarra Wall Mount Wine Rack,Furniture,1,0,1,0,1,One Star,Very low quality. Ordered two and both had dings and dents. Pore packaging and thin metal. Returned both.,31/08/2015
38,US,10949798,R2DMFLPCQ217O4,B00FA7RO16,236744938,Liora Manne Water Whimsy Sea Maid Rug,Furniture,5,1,1,0,1,Five Stars,Gift for granddaughter ~ she has it at entrance to her bedroom....loves it!,31/08/2015
39,US,15976009,R2AA2VTIZHDSR4,B005A4OP8Y,999119538,Signature Sleep Contour 8 Inch Independently Encased Coil Mattress with Low VOC CertiPUR-US Certified Foam,Furniture,5,0,0,0,1,Comfortable and affordable,"Great affordable firm, but comfortable mattress",31/08/2015
40,US,325884,R2HRECN4UIO8OV,B005HSGQT4,898748170,Coaster Furniture Cappuccino and Glass Accent Table,Furniture,5,0,0,0,1,Five Stars,Great table!! Liked it so much I bought a second one!!,31/08/2015
41,US,20833625,R2V5FJQ2ELK9VW,B004LQ1RGA,640532885,"DHP 6 inch Coil Futon Mattress with CertiPUR-US certified foam, Merlot",Furniture,5,0,0,0,1,Best futon mattress I have ever used,Best futon mattress I have ever used. No feeling the bars or slats through this. I did buy a cover for it as it seemed like it would pick up lint/dust very easily and my cats like to scratch.,31/08/2015
42,US,107621,RZ7WGMI4A9J0T,B00DOZTKH2,94433287,"Cosco ABS Top Folding Table, 34-Inch",Furniture,3,0,0,0,1,i purchased this table for studying. But it turns ...,"i purchased this table for studying. But it turns out to be shaky.<br />But it is still ok to read, write and code on this table. Not bad",31/08/2015
43,US,48887603,R2MFXUKG149TNB,B00KZZPP1O,526166312,TransDeco TD655B Multi-Function TV Stand with Universal Mount and Caster for 40-80-Inch LCD/LED TV,Furniture,5,0,0,0,1,Great stand! Material is very nice,"Great stand!<br />Material is very nice, no complaints!",31/08/2015
44,US,31158958,R2RNOMSQ6ST1FK,B0015VBSL8,72125943,Leggett & Platt Fashion Bed Group Murray Platform Bed,Furniture,2,0,0,0,1,Love the look,"Love the look, disappointed that the holes were not drilled out & none of the hardware worked.  Not what I expected !",31/08/2015
45,US,44745940,R3U5GALFDYXNHB,B00WTSJ9KS,125800997,New City Contemporary Black Brown and Beige Modern Wavy Circles Wool Area Rug 1030,Furniture,5,0,0,0,1,Exactly like the picture,Fast shipping. Exactly like the picture. looks great in our living room!,31/08/2015
46,US,12676720,R16EN0Q024AUH2,B00BSP45LG,272149009,PU Leather Office Chair,Furniture,5,0,0,0,1,Serious Use for This Chair,"Bought this chair for our security gate house. The main concern was comfort. As this chair is used 24/7 comfort was a must and it hasn't disappointed in that aspect. It was also very easy to put together. Took me 40 minutes to put completely together with no hassle. Only issue I have is that both arms keep getting loose and need to be retighten every other day. Other than that, chair is great!",31/08/2015
47,US,22080876,R1FUAOSCFI43K,B002YD8E5O,209758807,Convenience Concepts Sheridan Faux Leather Storage Bench with 2 Side Ottomans,Furniture,5,0,0,0,1,Works great in my living room especially with a 7 month ...,Exactly what I thought and wanted. Works great in my living room especially with a 7 month old around.,31/08/2015
48,US,1891334,R1HXED2OXNIWPF,B000CPI74O,141798347,"South Shore Furniture, Basic Collection, Queen Platform Bed with Moulding 60"", Natural Maple",Furniture,5,0,0,0,1,nice product!,"Speechless, nice product!",31/08/2015
49,US,4527413,R4ADADC1394DP,B00NF6FBZK,934395410,Strap-on Soft Chair Armrest Pads for Instant Elbow Comfort (2 Piece Set),Furniture,1,0,1,0,1,One Star,It still give my elbow discomfort.,31/08/2015
50,US,10441037,R2T27AWSEB5QH8,B012OYPPFE,219872121,Natural HomeLogic Laundry Detergent - 50 fl oz,Furniture,4,0,0,0,0,My laundry just smelled like clean clothes,"This is very concentrated and smells okay, but the scent does not last after drying. My laundry just smelled like clean clothes, which is fine, but kind of defeats the purpose of jasmine-scented laundry detergent. It cleans fine, doesn't cause any allergic reactions, and the packaging is fine. However, it had leaked a bit during shipping despite being in a plastic bag.",31/08/2015
51,US,27716580,R1Z1J841LCCQ71,B00IFBG84I,144863251,"Gel Platinum by Abripedic 12"" Memory Foam Mattress",Furniture,5,0,0,0,0,and it is wonderful! With any new mattress I have bought,"Just bought this mattress, and it is wonderful! With any new mattress I have bought, it takes a few days to get used to it. Not with this mattress! Did not have to get used to it at all. Slept the whole nite thru. This is not the less expensive and not the most expensive...right in between. You won't go wrong with this mattress.",31/08/2015
52,US,182633,R30ITTOON06M7G,B003KY2KNI,768003809,Home Styles Kitchen Island,Furniture,4,2,2,0,1,Not solid wood,This is a beautiful island but it is not solid wood. The back consists of 2 pieces of board that I think are plastic they are only about 1/4 inch thick. I think the shelves are particle board.  It arrives in 3 boxes. One box consists of the top with the drawers already attached. You will need to attach the leaf.  It has very clear instructions. We did have a problem with both of the doors not wanting to close so we took the hinges off and turned them over and reattached them. One door the hinge had to be upside down with the pin going up instead of down. The other problem we had was the leaf it was not level with the island so we had to drop the wood hinge down so it would be level.,31/08/2015
53,US,18035003,R1KQT8686D55YO,B0051HDMES,8084666,Safavieh Miami Shag Collection SG351-1391 Shag Area Rug,Furniture,5,3,3,0,1,Unique pretty rug,"This rug is kind of  unique and that is what I was looking for ; combines couple of different rug materials, shag and berber, to present such a contemporary, interesting look. Very soft ! Seems well made. Colors are true to the picture, and go very nicely with our chocolate brown sectional in a neutral color room.  Highly recommend.",31/08/2015
54,US,2522431,R3UYQPNKADBZC2,B00OIQHXI4,370206583,Modway Tinble Queen Upholstered Linen Headboard in Gray,Furniture,5,4,4,0,0,I love it - i was hesitant about ordering this online ...,I love it - i was hesitant about ordering this online but the material and quality of the fabric is perfect and the gray-blue is just what i was looking for...,31/08/2015
55,US,1832140,R1R1DHQW21Q2IH,B00GYK76QQ,391485890,"Faux Marble Lift Top Coffee Table, Espresso",Furniture,4,1,1,0,1,I like it,Cute table. Easy assembly. Picture true. Matched perfectly.,31/08/2015
56,US,12807597,R296JGFQ7KX8N5,B004HITCXC,36097104,"Bed Claw #10 Hook Plates for Wooden Beds, Set of 4",Furniture,5,0,0,0,1,Easy to use for replacements.,These went in perfectly find and event fit an older bed frame.,31/08/2015
57,US,17486744,R386HH4FEI4N80,B0040IA8AK,492646266,Coaster Furniture Glass Top 3 Piece Matrix Coffee Table Set - Black,Furniture,5,0,0,0,1,Five Stars,Very difficult to assemble....,31/08/2015
58,US,48735596,R2YJ4I05J9SF9S,B006MISZOC,941823468,"Zinus SC-SBBK-14NT-FR Smartbase Bed Frame Metal, Narrow Twin",Furniture,5,0,0,0,1,Thumbs up!,Works great and super easy to put together. Very happy.,31/08/2015
59,US,2742047,R301PY8K04O2LF,B001ANEUP2,793326294,"Hillsdale Carolina Headboard, Twin, White",Furniture,4,0,0,0,1,Four Stars,I like it.,31/08/2015
60,US,1147207,R27YWTUD12RH3Z,B0094G36TI,713373926,"Winsome Obsidian Pub Table Round Black Mdf Top with Black Leg And Base - 23.7-Inch Top, 39.76-Inch Height",Furniture,5,0,0,0,1,Five Stars,It was as advertised and perfect for our bar stools.,31/08/2015
61,US,10231962,R2ZMSLCBX6DWFS,B0030NS9BG,951634282,"Leick Riley Holliday Corner TV Stand, 46-Inch, Burnished Oak",Furniture,5,0,0,0,1,Looks better than expected.,Fits my TV and my room perfectly.,31/08/2015
62,US,47013181,R2YDBYVBPFHRJ4,B00YFECDXY,430022153,Modern Circles Area Rug,Furniture,4,0,0,0,1,Four Stars,Beautiful,31/08/2015
63,US,4870976,R1ES6HCVHT0H52,B00TW0N2VI,588096592,Generations New Contemporary Panal and Diamonds Beige Navy Coral Blue Grey Modern Area Rug Rugs 8036,Furniture,4,0,0,0,1,Good purchase for the price,"Made in Turkey. Decent quality, not the best I've seen. But totally worth the price. The colour is a little darker than what's shown in the picture.",31/08/2015
64,US,51480990,R3IW7MQW98YTSE,B00NNKC6VK,27048962,"Poundex Bobkona Atlantic Faux Leather 2-Piece Sectional Sofa with Functional Armrest and Back Support, Black",Furniture,4,0,0,0,1,Good purchase,It's exactly as I expected. Assembly is easy if you've got a power drill. The couch is very firm and thus far it's been sturdy. Definitely worth the price,31/08/2015
65,US,1896062,R3OGL5Z4FY1NYI,B00EUU5JZ2,83612510,Serta RTA Copenhagen Collection Loveseat,Furniture,2,0,1,0,1,Two Stars,Small,31/08/2015
66,US,13704658,R2KMFITPT33634,B000KK7Y3Q,478396916,"1 X Unique 72"" High LEANING LADDER STYLE MAGAZINE / BOOK SHELF on Black Finish",Furniture,4,0,0,0,1,Four Stars,"Looks great, but is not very stable",31/08/2015
67,US,46447787,RI415LQ120WSY,B003AO0D64,476570149,Linon Simon Club Chair,Furniture,5,15,15,0,1,Love These !!,"Very comfortable I love these & so does my family & friends when they come over, I would buy them again if anything ever happen to them just because of the feel & for the price you can't go wrong..",31/08/2015
68,US,15128968,R4ZSJN8LK862T,B005G5RZIY,382367578,Sleep Master Ultima Comfort Memory Foam 6 Inch Mattress,Furniture,5,0,0,0,1,This made my crappy mattress feel like a glorious cloud,This made my crappy mattress feel like a glorious cloud!  I have it on a guest bed and all who have slept on it have remarked how amazingly comfortable it is.  Perfection!,31/08/2015
69,US,21909221,R1MVZE20ABNTED,B00EWIVAIC,593905405,"Koyal Wholesale Acrylic Beaded Panel Diamond Cut Curtain, 3-Feet by 6-Feet, Red",Furniture,4,2,2,0,1,Jazz up your doorways!,"I loved them. Lots of sparkle. It came attached to a really nice sturdy rod. I didn't find any hooks that may or may not have come with it but no biggy, I had them handy and the only other thing is that it had room for a few more string of beads on there to make it a little bit fuller but other than that, I really loved them and it makes my closet look jazzy! :-)  .",31/08/2015
70,US,10856907,R98RDZ1E9LPBP,B00BUHWGT0,565928619,Safavieh Courtyard Collection CY6916-268 Navy and Beige Indoor/ Outdoor Area Rug,Furniture,4,0,0,0,1,very happy with this purchase,Exactly what I expected and wanted. very happy with this purchase. Looks great in my living room!,31/08/2015
71,US,29454112,R2AGK497STCEUH,B001JJBGCW,80788419,"South Shore Furniture, Sand Castle Collection, Double Dresser",Furniture,1,0,0,0,1,Why didn't I read the reviews?,"This was one of the worst purchases I've ever made.  The drawers and top are chipped, the directions are poorly represented pictures... there are no premarked holes for the areas the need nails and the screw holes for the drawers don't line up, leading to hours of frustration and misaligned construction. I'd have done better with ikea furniture and may wind up doing just that. This will be an expensive item at my curb.",31/08/2015
72,US,29514380,R1NWGNA24EB9S2,B0061WH9WS,80913687,Boss Traditional Oxblood Vinyl Guest Chair with Mahogany Finish,Furniture,5,0,0,0,1,Five Stars,Shines like crazy. Vinyl.,31/08/2015
73,US,41681546,RL8D0KJ0J9L0O,B00BWC1X3S,328960153,"Zinus 14 Inch Elite SmartBase Mattress Foundation / for Big & Tall / Extra Strong Support / Platform Bed Frame / Box Spring Replacement / Sturdy / Quiet Noise Free / Non-Slip, Twin",Furniture,5,152,165,0,1,A solid VICTORY for an over-crowded apartment!,"I've been looking for ways to increase storage space. I live in a 2 bed 1 bath apartment with my girlfriend, and our two Siberian Huskies, and another couple. Needless to say, we are all packed in there like sardines! Now, let's be honest here... 50% of the space is for the other couple, 60% of the space is for the pups, and the other 30% is my girlfriends. The numbers don't lie... we definitely have no more space at this point! I bought this for me, in hopes that I can re-claim a percentage of space for myself. Bed risers just weren't going to do the trick, and wooden framed with built-in drawers are much out of my price range. For me, this was a solid meet-me-in-the-middle solution.<br /><br />FIRST IMPRESSIONS:<br />The actual storage space of each of the two &#34;cavities&#34; from floor to the under-bars measures at about 12-1/2&#34;tall x 30&#34;wide x 60&#34;deep. I've very pleased to say that I was able to fit EIGHT (count em'), EIGHT large 12&#34; storage tubs under the bed! The tubs were about 8 bucks each at our local &#34;w-mart&#34;. We have gotten rid of the box spring completely, without any issues so far, and we feel no difference in comfort without it. Our mattress is an old 8&#34; coil spring with a separate 3&#34; memory foam mattress topper on the mattress. I could see how some may say a solid 8&#34; memory foam mattress might sag through the spaces. Some have put down cardboard for that, but I didn't find it necessary with our mattress. So far, we've been sleeping on this bed for a few weeks and it seems very solid, give or take a husky and some horseplay. It's very quiet, and I have not hears and creeks or squeaks from the frame as of yet.<br /><br />My worries were put aside when we finally received it in the mail. I was reading others reviews and was initially concerned about the frame arriving damaged during shipping as others have stated. Although, the box did arrive with a few minor bumps and bruises, there was zero damage and no rust to actual frame. I LOVE that this frame folds up, that's a really nice convenience. It took me all of 20 minutes to un-box and setup this frame where the old one used to be. There was very little assembly that I actually had to do. I was surprised that I did not need any tools what-so-ever. The only thing that confused me for a moment was the brackets that lock the outer legs in place. Those needed to be rotated PRIOR to fully folding out the legs, and then they lined up just fine. The cross-bars are not flush with the other length-wise support bars, and that is a bit of a pet peeve for me, but not that big of a deal. I'm definitely satisfied, and I would recommend this product.ctual frame. I LOVE that this frame folds up, that's a really nice convenience. It took me all of 20 minutes to un-box and setup this frame where the old one used to be. There was very little assembly that I actually had to do. I was surprised that I did not need any tools what-so-ever. The only thing that confused me for a moment was the brackets that lock the outer legs in place. Those needed to be rotated PRIOR to fully folding out the legs, and then they lined up just fine. The cross-bars are not flush with the other length-wise support bars, and that is a bit of a pet peeve for me, but not that big of a deal. I'm definitely satisfied, and I would recommend this product.",31/08/2015
74,US,914346,R2PYD33B1SZS6,B00P9YL934,405999575,7-Leg Super Duty Adjustable Metal Bed Frame (Queen/Full/full XL/Twin/Twin XL) with Center Support Bar and Rug Rollers&Locking Wheels,Furniture,5,1,1,0,1,Five Stars,Pretty good,31/08/2015
75,US,47300304,RDVP4SRFHN36R,B00S4U0O7W,740762143,25mm Dia Plastic Round Blanking End Caps Ribbed Tubing Inserts 24 Pcs,Furniture,1,0,0,0,1,Sent back immediately,Caps were old and  crumbly,31/08/2015
76,US,35798758,R8T6LH9M8QZLY,B002HWRFKM,489468425,Sanford Metal Headboard with Castings and Round Finial Posts,Furniture,5,0,0,0,1,great purchase,"Easily assembled, looks good, great price.  a little taller than i anticipated.",31/08/2015
77,US,14582534,R17REO9DFEGH5B,B010RNZGXA,710873877,2xhome - Brown - Deluxe Professional PU Leather Tall and Big Ergonomic Office High Back Chair Boss Work Task Computer Executive Comfort Comfortable Padded Loop Arms Nylon Base Swivel Adjustable Seat Furniture for Conference Room Reception,Furniture,2,0,0,0,1,Tall & Skinny,"This chair is a typical manager's chair. There was nothing showing the weight limits, but width wise, it definitely isn't for a big person. I definitely overpaid for what is actually just a basic office chair. It was also slightly difficult to put together. The screw holes weren't drilled correctly and I had a hard time getting the screws to catch. The two stars are for the looks. I would give another 1/2 star for comfort if I could.  If you're big, I wouldn't recommend. If you're not big, you can find the same quality cheaper. I have it up now and am not taking it apart to return. I wouldn't buy again.",31/08/2015
78,US,19938379,R1EJKGFC0T7NK,B00O1DGHTU,852850543,Modway Emily Twin Upholstered Vinyl Headboard in White,Furniture,5,1,2,0,1,Nice headboard,We love the headboard. The fabric and tufted button work looks great! It is high quality and looks very modern and elegant. We have an ikea storage bed in one of the rooms and we simply put the headboard against the wall in between the wall and the bed and there was no need to screw the headboard. It appears nice and stable. Looks great!,31/08/2015
79,US,26241878,R2VV04WLRB5CKJ,B00W1U33RE,555002371,"12"" Artificial Yellow Forsythia Flower Spring Silk Floral Arrangement in Glass Vase",Furniture,4,0,0,0,1,Four Stars,Very cute floral arrangements.,31/08/2015
80,US,53007975,RO190SUBXN2ZR,B00UUPPJY2,905042526,PINMEI Clear Acrylic Remote Control Holder Wall Mount,Furniture,2,3,3,0,1,Good Bedside Remote Control Holder,"Convenient remote control holder that can be attached to the side of a dresser or bed stand.  Comes with both wood screws and Velcro for attachment.  However, the screws broke off at the head when screwing into wood, before the screwhead was even close to the wood!  This damaged the dresser by leaving unusable holes, as the base of the screws could not be removed from the wood!  I've never had screw heads snap off before, and on closer inspection, the included screws appeared to be hollow!!!",31/08/2015
81,US,25592339,R3S5KCAYPBDJNU,B000GLNO4C,191914629,"Winsome Wood Valet Stand, Walnut",Furniture,4,0,0,0,1,Two left feet,"This would have been great if the kit had all of the correct pieces. I could not finish assembly because it had two left side panels instead of one left and one right. Now I have to wait to finish assembling it and hope the replacement parts are the right color. On the positive side, it did arrive about 4 days earlier than anticipated.",31/08/2015
82,US,42957631,R3QYGABSBYI88G,B00AFRZP9O,232678446,Corner L Shaped Office Desk with Hutch,Furniture,5,0,0,0,1,Five Stars,"It is perfect and arrived undamaged,Thank you",31/08/2015
83,US,50635009,R1RZ0LBO6H29U3,B00J0HD4AM,181839424,"Brentwood 9"" Gel Infused HD Memory Foam Mattress - 100% Made in USA - CertiPur Foam - 25-Year Warranty, Triple Layer, All-Natural Wool Sleep Surface and Bamboo Cover",Furniture,5,0,0,0,1,Comfortable memory foam to replace RV mattress,Fast Shipping. Comfortable memory foam to replace RV mattress.,31/08/2015
84,US,22731749,R3EIJZWMEMZ40O,B00SOIDRDC,438981843,"Homecharm-Int 23.8x11.8x 72.2-Inch Storage Cabinet,White(HC-004)",Furniture,4,0,0,0,1,Nice pantry very sturdy used for canned goods,"Nice pantry very sturdy used for canned goods, small appliances etc. my son and I put it together in a little over an hour",31/08/2015
