ID,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,18778586,RDIJS7QYB6XNR,B00EDBY7X8,122952789,Monopoly Junior Board Game,Toys,5,0,0,0,1,Five Stars,Excellent!!!,31/08/2015
1,US,24769659,R36ED1U38IELG8,B00D7JFOPC,952062646,56 Pieces of Wooden Train Track Compatible with All Major Train Brands,Toys,5,0,0,0,1,Good quality track at excellent price,"Great quality wooden track (better than some others we have tried). Perfect match to the various vintages of Thomas track that we already have. There is enough track here to have fun and get creative incorporating your key pieces with track splits, loops and bends.",31/08/2015
2,US,44331596,R1UE3RPRGCOLD,B002LHA74O,818126353,Super Jumbo Playing Cards by S&S Worldwide,Toys,2,1,1,0,1,Two Stars,Cards are not as big as pictured.,31/08/2015
3,US,23310293,R298788GS6I901,B00ARPLCGY,261944918,Barbie Doll and Fashions Barbie Gift Set,Toys,5,0,0,0,1,my daughter loved it and i liked the price and it came ...,my daughter loved it and i liked the price and it came to me rather than shopping with a ton of people around me. Amazon is the Best way to shop!,31/08/2015
4,US,38745832,RNX4EXOBBPN5,B00UZOPOFW,717410439,Emazing Lights eLite Flow Glow Sticks - Spinning Light LED Toy,Toys,1,1,1,0,1,DONT BUY THESE!,Do not buy these! They break very fast I spun then for 15 minutes and the end flew off don't waste your money. They are made from cheap plastic and have cracks in them. Buy the poi balls they work a lot better if you only have limited funds.,31/08/2015
5,US,13394189,R3BPETL222LMIM,B009B7F6CA,873028700,Melissa & Doug Water Wow Coloring Book - Vehicles,Toys,5,0,0,0,1,Five Stars,Great item. Pictures pop thru and add detail as &#34;painted.&#34;  Pictures dry and it can be repainted.,31/08/2015
6,US,2749569,R3SORMPJZO3F2J,B0101EHRSM,723424342,Big Bang Cosmic Pegasus (Pegasis) Metal 4D High Performance Generic Battling Top BB-105,Toys,3,2,2,0,1,Three Stars,"To keep together, had to use crazy  glue.",31/08/2015
7,US,41137196,R2RDOJQ0WBZCF6,B00407S11Y,383363775,Fun Express Insect Finger Puppets 12ct Toy,Toys,5,0,0,0,1,Five Stars,I was pleased with the product.,31/08/2015
8,US,433677,R2B8VBEPB4YEZ7,B00FGPU7U2,780517568,Fisher-Price Octonauts Shellington's On-The-Go Pod Toy,Toys,5,0,0,0,1,Five Stars,Children like it,31/08/2015
9,US,1297934,R1CB783I7B0U52,B0013OY0S0,269360126,Claw Climber Goliath/ Disney's Gargoyles,Toys,1,0,1,0,1,Shame on the seller !!!,Showed up not how it's shown . Was someone's old toy. with paint on it.,31/08/2015
10,US,52006292,R2D90RQQ3V8LH,B00519PJTW,493486387,100 Foot Multicolor Pennant Banner,Toys,5,0,0,0,1,Five Stars,"Really liked these. They were a little larger than I thought, but still fun.",31/08/2015
11,US,32071052,R1Y4ZOUGFMJ327,B001TCY2DO,459122467,Pig Jumbo Foil Balloon,Toys,5,0,0,0,1,Nice huge balloon,"Nice huge balloon! Had my local grocery store fill it up for a very small fee, it was totally worth it!",31/08/2015
12,US,7360347,R2BUV9QJI2A00X,B00DOQCWF8,226984155,Minecraft Animal Toy (6-Pack),Toys,5,0,1,0,1,Five Stars,Great deal,31/08/2015
