ID,beer_ABV,beer_name,beer_style,review_appearance,review_palette,review_taste,review_aroma,text,label
0,6.5,Great Lakes Conway's Irish Ale,Irish Red Ale,3,2.5,2,2,A Very average nothing special. Pours to a light red color with a nice 2 finger head. Laces nicely around the glass S Very bread like to me with a hint of hops and yeast. I also pick up a slight spice aroma T This isn't very good : ( The more I drink it the less I like it. Very metalic finish to the beer. In my opinion not a good thing. I have it rated at a 2 but I wouldn't be affraid to go lower. I'm in a nice mood tonight. M Well carbinated but it leaves a foul coating on my mouth. O I will never drink another one of these! I'm almost ready to proclaim this thing as awful. Great Lakes is a hit or miss for me and this is clearly a miss. I would say the Cleveland Browns are better than this beer.,0
1,5,Tuborg Premium Lager (Gold / Guld),Euro Pale Lager,3,2,2,2.5,"Better than some macros, but not that good at all. This one poured a typical clear golden color but had a nice white head that stuck around and left a bunch of lace om my glass. The smell was of overly sweet maltiness and not much else. The taste was not too impressive with nothing more than some astringent sweetness and some fuel type flavors. Not recommended at all.",0
2,10,Swamp Ape IPA,American Double / Imperial IPA,4,3.5,3,1.5,"Bottle from a trade, poured into a tulip glass. Beer pours a dark copper, but very clear. Barely half a finger of white bubbly head that quickly dissipated to a small and thin collar along the edge of the glass. The collar leaves some light lacing as you take sips. Decent amount of carbonation visible floating up slowly from the bottom of the glass. Nose is sweet caramelized orange peel, and a bit of cognac like booziness. Not too much hops aroma detected, which isn't too good for a DIPA. Wow, very very boozy, that it burns the tongue as soon as it hits. Very sweet on the tongue as well, caramel malt very apparent. Just a faint citrus peel flavor hidden under all the booze and sweetness. Really lacking in bitterness, though I did sit on this for a month after receiving it in a trade. However, I can't imagine it being stored at low temperatures for a month would degrade all bitter notes. Medium body with decent carbonation to prevent it from being syrupy. However, it's just not a very good DIPA, not enough hops, too much booze, and too sweet.",0
3,5.5,Scratch Beer 36 - Bruce Wit,Witbier,3.5,4,4,4,"It was the scratch beer festival night! i had spent a good deal of time collecting these and finally tracked down the last of what i needed and put them all down in a massive tasting. Split with my brother in law and his buddy on 5/6, these were all split into 6 ounce samplers. special note, this was the hardest to acquire of all of them! A decent pour here, though not much in the way of any head on it so to speak. Still nice hazy and cloudy medium amber colored beer had some nice carbonation to it and a well rounded look. The aroma was nice, hints of banana, cloves, and an almost bubble gum like aroma peeking in through the mammoth wheat smell. Same held true for the flavor, with massive amounts of wheat present right away that melded themselves into a nice banana and clove profile that seemed to continue to develop as it continued to warm. Nice balance here with a light to medium body and smooth carbonation, left with a slightly dry flavor in the mouth, I went in for a few more sips leaving a nice bubble gum flavor throughout.",2
4,6,Chocolate Stout,American Stout,4.5,4.5,3.5,4.5,"Very good looking, very tasty, and very sweet-smelling. All around a fun beer...there's just one problem. There's too much of it. Other reviewers have noticed it's pronounced chocolate aroma and loads of chocolate flavor, as well as the sharp appearance and textbook stout mouthfeel, and they do not lie. But 22 oz. is overkill. Imagine eating an entire box of truffles, and that's about what it's like to drink a bomber of this stuff. It's the nectar of the gods for the first 10-15 minutes. After that, however, you learn that you truly can have too much of a good thing. Unless you really love chocolate and just can't get enough, I recommend something smaller than the big bottle. Seven oz. bottles are available. Better yet, get a big one and split it with a special lady. No sane woman would turn down chocolate.",0
5,9,Stoudt's Triple (Belgian Abbey-Style Ale),Tripel,3.5,1.5,3,1.5,"Bubbly copper with a rich white head. Looks nice in my Hoegaarden Grand Cru glass. Smells like spicy belgian yeast and leather. Slightly of the plastic that insulates wires. Reminds me of homebrew in a bad way. Very sweet, with a hint of biscuit or shortbread. Warms my chest as it moves past my heart. Its almost under-attenuated kind of sweet, but a hop bitterness comes from nowhere to rescue it at the very last second. Not bad, but not good either. Has a nice sharp triple mouthfeel. Everything you would expect from the style; Slightly full with lots of CO2. I think the CO2 is actually what, in conjuction with the hop bitterness, saves this beer from being cloying. I really don't think I'd want to drink another. I just cannot recommend this beer. It falls short in every important category. I have found it especially difficult to get past my nose. EDIT: Now that some of the CO2 has faded, it IS cloying. This triple has moved from ""not bad"" to bad in a hurry. Looks like a dumper. If you are going to try this beer drink it quickly.",0
6,5.3,Samuel Adams Cherry Wheat,Fruit / Vegetable Beer,4,2,4,2,"I am not the descriptive type by far, But I have tried quite a few of the samuel adams beers, And I can say I really dont feel like I am even drinking a beer when I had one of these, Chick drink comes to mind. My wife really liked it though, And turns out the neigbhor's wife likes it as well. Yet he pretty much thought the same about it.",0
7,4.9,Samuel Adams Boston Lager,Vienna Lager,4,3.5,3.5,4,"This beer poured into the glass a light amber color that had red/orange highlights to it, it was very clear and well carbonated. The beer produced a decent head, white in color and semi lasting in nature. It was fluffy and sticky which was evident in the lace that it left behind. The aromas that came from the glass were of sweet malt, caramel, flowers, hops and a hint of citrus. The flavors were exactly the same, sweet malt, caramel, hops, citrus (light) and flowers. It left a semi hop finish that was light and semi dry. An all around smooth and quaffable beer, it is very easy to drink. A good staple to have around because of its balanced flavors, aromas and drink ability. A must for all those who want to step into the craft world.",2
8,9,Kapittel Prior,Belgian Strong Dark Ale,4.5,4,4,4.5,"Vintage 2006 bottle poured into my Duvel tulip. A-Opens with a whoosh of carbonation and some gun smoke. Pours an attractive mahogany with an inch of khaki head. Light soapy lacing. S-Fruity, slightly tart cherry acidity, caramel maltiness. T/M-Age has thinned this beer out considerably, but that's not a bad thing. The carbonation, so intense when I first cracked the bottle, has receded and is now very light. Just the right amount to separate the flavors and hold the beer together. The requisite flavors of plum and prune are present, with some light baking spices on the back end. There is just a touch of light acidity. Possibly the beginning stages of oxidization, but it's actually kind of nice. D- I found a few of these buried in the back room of my beer store, so I will be drinking this until it's gone!",2
9,4.8,Sierra Nevada Kellerweis Hefeweizen,Hefeweizen,4,3.5,4,4,"12 oz bottle at The Dish in Ormond Beach, FL. Served in a flute glass more suitable for a witbier than a hefeweizen. Review from notes taken shortly after tasting. A: hazy orange with golden yellow hues and a thick cap of frothy, cream white head. S & T: ripe banana, clove, bubble gum, nutmeg, wheat malt, and a floral, citrus hop spice to end. The flavour is more robust than you'd expect for a 4.8% beer, and I can see why this is so highly rated. M: soft, crisp, spicy and thirst quenching. Straightforward but spot on for the style. D: certainly something you could drink continuously on a summer afternoon, and the ABV accommodates sessioning. Another great beer from Sierra Nevada. I have yet to try a bad or mediocre offering from their lineup.",2
