,product_id,product_title,review
0,B001ANOOOE,"The Naked Bee Vitmin C Moisturizing Sunscreen SPF 30, 5.5 oz (163 ml.)",five stars love excellent sun block
1,B0016J22EQ,"Alba Botanica Sunless Tanning Lotion, 4 Ounce",thank alba bontanica great thing cream doesnt smell weird like chemical laden ones get nice healthy unfake looking tan isnt orange makes skin soft
2,B00HU6UQAG,"Elysee Infusion Skin Therapy Elixir, 2oz.",five stars great product im 65 years old claims
3,B002HWS7RM,"Diane D722 Color, Perm And Conditioner Processing Caps - 100-Pack - Clear",good deal use shower caps conditioning caps like theyre bulk saves lot money
4,B00SM99KWU,Biore UV Aqua Rich Watery Essence SPF50+/PA++++ (pack of 2),soaks quick provides nice base makeup goto daily sunblock leaves white cast clean pleasant scent youre makeup wearer soaks quick provides nice base makeup ive using brand year daily use tube last couple months
5,B000NYL1Z6,Murad Clarifying Cleanser,four stars good
6,B001SYWTFG,CoverGirl Queen Collection Perfect Point Plus Eyeliner Black Onyx 200,good buy great eyeliner run little bit corners times overall keep eyes day long
7,B005F2EVMQ,"Bifesta Mandom Eye Makeup Remover, 145ml",five stars best makeup remover
8,B00M1SUW7K,"Can You Handlebar All-Natural Secondary Moustache Wax : Extra Strength, Firm Hold",tame wild mustache great product im latest stab major beard always seem start growing hottest months mustache going particularly awkward phase growth wax really helps keep place way look neater actually eat drink without collecting big mess youre going get favor get good mustache comb
9,B001KYQA1S,"Maybelline Great Lash Washable Mascara, Clear [110], 1 ea",like nothing thought would darken lashes even though clear like nothing sadly threw away
10,B00SAQ9DZY,"12 New, High Quality, Amber 2 ml (5/8 Dram) Glass Bottles, with Orifice Reducer and Black Cap.",good product great small mixtures eos especially traveling gave 4 stars orifice reducer hole small hard get oil needs slightly bigger
11,B00HFQQ0VU,Waterpik Aquarius Water Flosser,optimum oral health got nice size compact looking forward gum massaging wore last model
12,B00PYL8MAA,"Proganix Agave Nectar Plus Silica Curling Cream Plus Defrizzant, 6 Ounce",love cream wish discovered years ago leaves curles super defined soft still need put gel spray last though super recommend
13,B00D9NV2D4,Shea Butter,works much better store bought lotion bought make lotion mixed shea butter coconut oil together works much better store bought lotion want get raw cocoa butter mix next batch
14,B008Y9M412,Etude House Fresh Cherry Tint # 02 RD301,five stars tint awesome seller dont even send one sample
15,B00FWXBLHG,Vintage Lil' Sponge Holder,great product fast delivery im love unique fits decor beautifully couldnt ask better seller received product date promised
16,B003KL8CB0,Jenna Jameson Heartbreaker Perfume parent,smell cheap given product exchange review say wow love perfume great scent notes little heavy really like overall get headaches easily doesnt seem smell cheap wonderful fragrance lot money love give try
17,B006R2LNV0,Korean Cosmetics_Isa Knox X2D2 Original Hydra Serum_50ml,five stars magical everybody noticed skin change right away
18,B00SMIIR0W,Schick Hydro Silk TrimStyle Moisturizing Razor,love razortrimmer works fantastic razor leaves legs really smooth unlike disposable razors ive used razor runs acrossed skin smoothly dont feel like anything trimmer trimmer trims meant skin shave gets close enough run razor boom smooth
19,B003UKKH6O,Oral-B Vitality Prowhite Rechargeable Electric Toothbrush 1 Count,five stars excellent battery tooth brush
