,product_id,product_title,review
0,B000SAQCWC,"The Cravings Place Chocolate Chunk Cookie Mix, 23-Ounce Bags (Pack of 6)",using years love family allergic wheat dairy eggs nuts several things love entire cravings place line products allows us bake treats minimal effort ingredients allergyfree glutenfree mixes usually omit one two allergens great see mix created without many common allergens note still soy corn consume regular basis years
1,B00509LVIQ,"Mauna Loa Macadamias, 11 Ounce Packages",wonderful favorite nut creamy crunchy salty slightly sweet could ask
2,B00KHXESLC,Organic Matcha Green Tea Powder - 100% Pure Matcha (No Sugar Added - Unsweetened Pure Green Tea - No Coloring Added Like Others) 4oz,five stars green tea tastes good girlfriend loves
3,B000F8JIIC,15oz Raspberry Lyons Designer Dessert Syrup Sauce,five stars love melissas brand great second cant get melissas brand
4,B004ZWR9RQ,"Stride Spark Kinetic Fruit Sugar Free Gum, 14-Count (Pack of 12)",five stars good
5,B00AL6QBZ6,Herr's Popcorn Hot Cheese 1 Oz (Pack of 30),happy popcorn stale
6,B00BCNSTRA,"Larabar uber, 1.42 Ounce (Pack of 15)",five stars love bars watch fat sugar grams
7,B0089MM2BG,"Shirakiku Soba Noodles, 7.16 Ounce",five stars love taste price high doesnt come 6 12 pack
8,B00Y1C9770,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",great tasting im member crowdtap jif program jif sent sample jif bars try review family loved themgreat peanut butter taste easy take whenever need great snack
9,B00J074W94,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",disgusting difficult digestion used decent product disgusting difficult digestion 3 purchased costco past couple months end result open container smells like rancid oil something right makingprocessing powder buy
10,B0001VKKOO,Bragg - All Natural Liquid Aminos All Purpose Seasoning Spray,like soy sauce youll really like cannot tell difference taste soy sauce bragg liquid aminos im glad bought small spray bottle better control much use powerful stuff since im watching sodium intake like make stirfry dishes still enjoy 34soy sauce34 flavor enhancer without overdoing pretty good also home cooked burger beef steak slather melted butter top cooked meat serving give quick spray aminos grinds black pepper enjoy
11,B007TGH4CK,Wholesome Sweeteners Organic Coconut Palm Sugar,four stars good flavor seems concentrate enough add little sweet one
12,B002HMN6SC,"Kadoya Pure Sesame Oil, 11 Fluid Ounce",five stars great use recipes
13,B004NRHAZO,"Nishiki Premium Brown Rice, 15-Pounds Bag",five stars rice enough last months
14,B00V7LJIG8,"Everly Passion Fruit Green Tea - All Natural Powdered Drink Mix - (36-ct) - Sugar Free, Zero Calorie, Healthy Water Enhancer",five stars good tasting great way get away sugar
15,B0000E2YFI,Charms Blue Razzberry Blow Pops Lollipops Quantity: 48,excellent perfect came right time
16,B00VK5SQOQ,"Food Should Taste Good, Real Good Bar, Gluten Free, Macadamia Chai, 15 Count",yummy wow sooooooo good sweet tooth full nuts addicting
17,B00XDXMLL2,"Skippy Creamy Peanut Butter, with Salted Caramel 15oz (Pack of 4)",1 5 coworkers thought okay bought local super market whim decided let people know tastes im huge fan peanut butter salted caramelbr br instance salted caramel almond kind bar today amazing tasted like would expect tastebr br however particular product tastes like chemical spill starts peanut butter taste caramel im guessing tastes kind burnt chemicallike finishes salty burnt tastebr br spoon disliked put pretzel bread slightly palatable overall would avoid product doesnt really taste like salted caramel peanut butterbr br fun let coworkers taste 1 5 thought product tasted 34okay34 rest shared sentiment
18,B00MN4KX3A,"Celestial Seasonings Tropical Fruit Cool Brew Herbal Tea Bags, 40 ct Ã¢â‚¬Â¦",delicious tea easy make love tea delicious since cool brew dont put kettle boil water waste ice trying cool tea summer time also im go stick bag water bottle get refrigerator go door
19,B004NTCE1M,"Nutiva Organic Virgin Coconut Oil, 15 Ounce",best coconut oil used servo different brands coconut oil best wasnt gritty like smooth really like subscribe purchase monthly one thing know little bit coconut oil goes long way use coconut oil lotion also dog many uses enjoy brand best definitely purchase
20,B004BGM3HC,"Abbaye De Flavigny - Orange, Anise and Violet Flavored Candies From France 3 Pack 3x1.75oz",five stars taste remembered like lot
21,B005QBAM6A,Underberg Bitter Herb 3pk,five stars love stuff
22,B0050NTYXG,"Hershey's Halloween Assortment, Snack Size Assortment Bag",good variety variety candy halloween hand kids love need buy least 23 bags one wont enough kids especially neighborhood lot children go trick treating parents
23,B00DBSFXUA,"Keebler Town House Pita Crackers, 9.5 Ounce",pita crackers craze nothing really wrong crackers small much room cheese
24,B00BJ5FISE,Knorr Dill & Herbs Salad Dressing (Salat Kroenung) - Pack of 4 X 5 Pcs Ea.,five stars love gives favorite salads taste bavaria
25,B004LUNVUG,"Monin Sugar Free Triple Sec O'free (Sugar Free, Calorie Free), 33.8-Ounce Plastic Bottle (1 liter Bottle)",nice big bottle large bottle got make coronaritas great
26,B0083GJKR2,"Eclipse Sugar Free Gum, Spearmint, 120 Piece Bottle",three stars gum
27,B00D0TASLO,Angostura Bitters 4 OZ,five stars works well nagging sensations stomach
28,B004AMFDF6,Green Mountain Dark Magic DECAF Extra Bold 4 Boxes of 24 K-Cups,five stars good dark roast flavor
29,B0052M5V0A,"Nespresso OriginalLine Capsules Variety, 100 Count NOT compatible with Vertuoline machines",five stars absolutely love coffee samples
30,B00507A02Q,"blk Premium  Alkaline Water Infused with Fulvic Trace, 16.9 Ounce Bottles (Pack of 24)",love dont know kind water people drink tastes exactly like water lol brainier read review saying bad thyroid please explain
31,B00NTX6158,"Revolution Tea Dragon Eye Oolong Tea, 30 Count",five stars good choice
32,B008B39N42,"Cirio Italian Crushed Tomatoes, 13.76 Ounce (Pack of 16)",fresh great tomato base meal never buy tomato product cirio best tomato product ive used
33,B001V76MFS,Pringles Variety Pack Potato Chips,five stars love pringles original ones favorite snacksized pringles perfect
34,B00C6817HY,"Vegemite 220g - Two Pack, with Amazon Prime, Australian Import",get goodie downunder australian friend acquainted vegemite 30 years ago get amazon tastes great ever toasted muffin bagel
35,B008TSVXWE,"Golden Island Natural Style Pork Jerky, Korean Barbecue Recipe",flavor remind korean bulgogi good way ok nothing great
36,B00EZDN406,Terrasoul Superfoods Wheat Grass Juice Powder (Organic),far really like soon tell wheat grass far hasnt upset stomach like another brand product gluten free organicmust haves arrived promised trust brand
37,B00FOLMDF0,"House Foods Wasabi Powder, Super Hot, 2.2 Pound",five stars really hot wasabi
38,B00Y216XZO,"Brew & Save Carafe Filter, Keurig 2.0 Multi-Cup Brewer Compatible - Orange",instructions say make sure instructions say make sure lined properly machine make holes bottom mesh learned holes appeared
39,B000FOIYS6,LifeSavers Hard Wint-O-Green,lifesaverseons trusted name quality good tasting mints lifesavers brand around long long time remember kid grandfather always carried either roll wintogreen peppermint lifesavers one business suit fob pockets knew would visiting gram farm hed hide roll fruit flavored lifesavers one small chest pockets bib overalls find treat day eat one mints fond memories grandfather good times farm come flooding back mints long lasting flavor leaves mouth feeling fresh cool buy large bags walmart time six dollars ninety eight bag sure pricey
40,B00A66TR8E,"Amoretti Premium Syrup, Pineapple, 25.4 Ounce",recommend product beautifully labelled thats actual taste consistent flavor label claims represent pretty bottle good news failure product meet expectation served impetus make syrups real fruit juice sugar
41,B00U828PZW,Simple Girl Carolina Style BBQ Sauce - 12oz Sugar Free - Low Calorie - Diabetic/Vegan Friendly - Gluten/Fat/MSG Free - Compatible with Most Diet Plans,three stars ok enough bbq flavor
42,B004IJK6YO,"Lenny & Larry's The Complete Cookie, Peanut Butter, 4-Ounce Cookies (Pack of 12)",four stars excellent taste soft
43,B000FS9MUQ,DARKWING DUCK,five stars came perfect condition
44,B00VR4TQBM,Organic Cotton Candy (Pack of 4),wonderful watermelon kids completely obsessed cotton candy however majority cotton candy market organic discovered organic cotton candy spun paradise cotton candy co knew give tryimagine delicious flavored cotton candy organic hooraybr br cotton candy package arrived quickly home perfect condition nice plastic containers always iffy ordering food mail however cotton candy perfect melted damaged way ordered 4 different flavors immediately try every one watermelon quite tasty didnt taste artificial yummy true flavor also found cotton candy doesnt melt away like typical cheapie cotton candy tends melts nicely mouth absolutely delicious never ever ever go back average run mill cotton candy definitely repurchasing spun paradise futurebr br received product cost provided honest unbiased review return
45,B00C81PMFC,Freezer Bars Kool Pops Assorted Box of 20 - 1.5 Oz Pops,great product great product
46,B001SAVJ4W,Kava Instant Coffee,good flavor instant coffee drink good flavor little less acid make tummy happy ive drinking 10 years tastes almost good regular brewed coffee
47,B013F4NCQ6,"80pk White Coffee Lot Co K-Cups Organic Variety Pack Bio-degradable Pods, 4 Flavors",tasteless disappointed coffee little flavor use strong brewing setting bunn caf get little taste try always organic really waste money
48,B00E19WJ1E,Stash Tea Holiday Tea Assortment,tea great enjoyed flavor tea great enjoyed flavor
49,B00NE4AR2A,"Good Earth Teas Organic Sweet and Spicy Caffeine Free Herbal 18 Tea Bags, 4 Count",favorite tea goto tea cold winter nights
50,B00DPEK6MA,Copper Moon Kona Blend Single Cup Pod,good husband likes
51,B00269VK20,Organic Ceylon Cinnamon Ground Powder - 1 lb,tastes great might take 34forever34 use bag tastes great 34peppery like34 taste compared cinnamon buy store sweet
52,B00F9WVMME,"Yuban Organic Ground Coffee, Medium Roast, 11 Ounce Canister",organic brand much better tasting much cheaper grocery store organic brand much better tasting
53,B002ZOPTGY,Blue Plate Mayonnaise,great import area great import area country living doesnt carry think thats us
54,B00ADYXY7E,Monster Energy Drink,five stars love stuff
55,B00B8YXVUS,Sweet Leaf Liq Stevia Peppermnt Flav 2 Fz,five stars great product usual mint stronger bite subtle others thats preference
