,day,date,month,year,product_name,category,review,rating,vote_score
0,Monday,31,8,2015,Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings,Jewelry,beauties beautiful even tho clearly high end super great price costume jewelry though others look twice since appear near real nice,10,0
1,Monday,31,8,2015,925 Sterling Silver Finish 6ct Simulated Diamond Stud Set,Jewelry,great product great product got set mother allergic bijoux probably nickel products dont know sure know ears get swallowed red itchy unless silver goldbr im glad sterling silver still affordable price never got allergic reaction wears every day,10,0
2,Monday,31,8,2015,"Sterling Silver Circle ""Friends Forever"" Infinity Symbol Pendant Necklace 18""",Jewelry,exactly pictured daughters friend loved came packaged nice box exactly pictured daughters friend loved came packaged nice box thought looked expensive happy purchase,10,0
3,Monday,31,8,2015,Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit sizes 7 - 14,Jewelry,five stars love fits great super comfortable neat idea fish bones also come,10,0
4,Monday,31,8,2015,"Sterling Silver Family Pendant Necklace 18""",Jewelry,mothers day gift mom loved really nice quality interesting design got mothers day gift mom loved really nice quality interesting design,10,0
5,Monday,31,8,2015,CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring,Jewelry,five stars love make wont get another,10,0
6,Monday,31,8,2015,Metal Factory 925 Sterting Silver Plumeria Cubic Zirconia CZ with Maile Leaf Hawaiian Flower Band Ring,Jewelry,five stars true size unique,10,0
7,Monday,31,8,2015,niceEshop(TM)Classic Vintage Champagne Cross Pendant With Chain,Jewelry,five stars necklace beautifulis great accent wardrobe,10,0
8,Monday,31,8,2015,Genuine Natural Baltic Amber Adjustable Stretch Ring for Women,Jewelry,five stars perfect,10,0
9,Monday,31,8,2015,MBOX Expandable Antique Gold ToneAntique Sliver Tone & Antique Bronze Letters Wire Bangle Bracelet,Jewelry,five stars love,10,0
10,Monday,31,8,2015,Set of 3 Nose Rings: 22g Sterling Silver CZ Nose Studs - Clear Pink & Light Purple,Jewelry,high hopes epic fail didnt even last first day one stone already got two fell day im sad really looking forward,2,4
11,Monday,31,8,2015,"3-row White A Grade Freshwater Cultured Pearl Necklace (6.5-7.5mm) 16.5"" 17""/18""",Jewelry,real nice necklace price real nice necklace price dont look strand larger diameter next advertised really nice necklace,10,0
12,Monday,31,8,2015,KONOV Mens Stainless Steel Ring Gothic Skull Hand Claw Poker Playing Card Black,Jewelry,amazing comfortable ring would definitely buy great ring konov,10,2
13,Monday,31,8,2015,TEMEGO Jewelry Mens 2pcs Rhodium Plated Vintage Superman Symbol Wedding Cufflinks Shirt Cufflinks Black Silver,Jewelry,five stars great quality price,10,1
14,Monday,31,8,2015,Royal Blue/White KC ROYALS Silver Tone Multi Charm Toggle Bracelet Kansas City Sports,Jewelry,little smaller expected like bracelet lot really cute almost exactly expected wish little longer little snug even though fairly small wrists,8,1
15,Monday,31,8,2015,"10-11mm Baroque Freshwater Cultured Pearl Endless Necklace 32"" 60"" 64"" In Dyed and Natural Colors",Jewelry,pretty versatile pretty versatile wear dresses low cut allows bit modest especially appreciate continuous string wandering clasp ruin look,10,1
16,Monday,31,8,2015,SankuwenÂ® Fashional 7pcs Stack Plain Rings Cute Eye Bowknot Crown Rhinestone Joint Rings,Jewelry,dont get like first time opened got broken dont get like first time opened got broken dont fit fingers,2,0
17,Monday,31,8,2015,zjskin6688 store New fashion Hip-Hop African Map Pendant Wood Bead Rosary Necklaces,Jewelry,three stars expected took long ship price right necklace adjustable hangs low,6,1
18,Monday,31,8,2015,Scheppend Polymer Clay Cute Cartoon Fox Handmade Stud Earrings Â¡Â­,Jewelry,four stars bought daughter cute bigger imagined would,8,0
19,Monday,31,8,2015,Horizontal Sideway Lateral Cross Pendant Necklace Stainless Steel with 20 inches Chain,Jewelry,five stars pretty comfortable wear,10,1
20,Monday,31,8,2015,Magnoli Clothiers Doctor Who Style Capaldi Ring,Jewelry,tell clara good ring great ring looks exactly like one capaldi wears body ready wear everyday life cosplay one problem kinda look weird bent fit finger big fingers metal easy bend still stiff cant notice shape wearing,8,5
21,Monday,31,8,2015,Black Stainless Steel Dragon Stud Earrings for Men,Jewelry,son loved got son loved got gave look plugs maybe month getting one black piece dragon fell metal happy,4,0
22,Monday,31,8,2015,Essential Oils Aromatherapy Diffuser Locket Necklace,Jewelry,beautiful pretty works really well diffusing scented oil happy purchase,10,0
23,Monday,31,8,2015,Zehui Chap Turquoise Beads Tibetan Silver Cute Elephant Stretch Bangle Bracelet,Jewelry,four stars like much,8,0
24,Monday,31,8,2015,TIR-0008 Solid Titanium Rose Gold IP 6mm Wide Classic Band Ring; Comes With Free Gift Box,Jewelry,five stars love ring,10,0
25,Monday,31,8,2015,"Pro Jewelry Dangling ""Cat w/ Heart"" Clip-on Bead for Charm Bracelet 04843",Jewelry,five stars great,10,0
26,Monday,31,8,2015,Rope Braided Band Simulated Coral Fashion Bali Ring New .925 Sterling Silver Sizes 6-9,Jewelry,five stars beautiful red color goes coral jewelry,10,0
27,Monday,31,8,2015,Sterling Silver 3mm 24 Inch Beaded Rosary Necklace with Dangling Cross (I-1520),Jewelry,five stars daughter loved,10,0
28,Monday,31,8,2015,"Chain 22K 23K 24K THAI BAHT GOLD GP NECKLACE 24"" 50 Grams Jewelry",Jewelry,two stars dont like,4,0
29,Monday,31,8,2015,NermixÂ® Harry Potter Time-Turner Rotating Hourglass Pendant Alloy Necklace (Golden),Jewelry,one star bad quality sand mine bright pink hideous save money,2,0
