,day,date,month,year,product_name,category,review,rating,vote_score
0,Monday,31,8,2015,Minnetonka Men's Double Deerskin Softsole Moccasin,Shoes,buy really didnt start wear may 2016 junk falling apart outer sole thin although wear almost completely house rugs inner padding showing heel previous pair company lasted 5 years threw im sorry didnt wear often first got would returned immediately,2,0
1,Monday,31,8,2015,Teva Men's Pajaro Flip-Flop,Shoes,super flip flop provides great cushion well archsupport,10,0
2,Monday,31,8,2015,Anne Klein Perfect Pair Wristlet,Shoes,great clutch purse perfect need something small cell phone items,8,0
3,Monday,31,8,2015,adidas Men's 10K Lifestyle Runner Sneaker,Shoes,badass getting u see,10,0
4,Monday,31,8,2015,OverBling Sneakers for Men Casual Men Shoes Genuine Leather Shoes Slip On Boat Loafers,Shoes,three stars small,6,0
5,Monday,31,8,2015,MESSI 15.3 FG/AG SOCCER SHOES (8.5),Shoes,five stars 13 year old son loved shoes excellent quality service time birthday,10,1
6,Monday,31,8,2015,Hoka One One Men's Stinson Lite Shoe,Shoes,finally cushion write ok searching shoes replace shoes used wear crazy expensive wanna guess happy get sale helped lot honestly truly worth comfortable arch awesome cushioning number one issue fat woman 35 years working intensive care amazing love tongue super thin doesnt get way love lacing system needed little room shoe days works great days wish one inch lol looking amazing shoe cushioning smooth rocker bottom couldnt happier also introduced another friend worked icu many years bought adores yes little narrow side aware,10,1
7,Monday,31,8,2015,Olukai Nohea Mesh Shoe - Men's,Shoes,good deal go full size went full size fit better kinda wide nonetheless love,8,0
8,Monday,31,8,2015,"Carolina Mens 6"" Waterproof Broad Composite Toe Work Boot",Shoes,would say boot good line work buy would say boot good line work buy pair every year,10,0
9,Monday,31,8,2015,Alegria Women's Seville Clog,Shoes,small size misleading,6,0
10,Monday,31,8,2015,Naturalizer Women's Happening Dress Sandal,Shoes,five stars shoes comfortable,10,0
11,Monday,31,8,2015,Forever Link Womens Vera-82 Sandals,Shoes,five stars love sandals,10,0
12,Monday,31,8,2015,Versace Collection Black Perforated Leather Loafers Shoes,Shoes,four stars good quality shoes great casual business attire lots compliments,8,1
13,Monday,31,8,2015,Twisted Girl's Champion Casual Boat Shoe,Shoes,good shoes comfortable whole day school daughter really likes shoes comfortable fit wellthe black started fade already couple weeks still good shoes,10,0
14,Monday,31,8,2015,Travel Smart Hand Pouch Bag In Bag Organiser Cosmetic Gadget Purse Organizers Inserts,Shoes,two stars okay,4,1
15,Monday,31,8,2015,Saucony Originals Men's Jazz Low Pro Vegan Sneaker,Shoes,love shoes love shoes perfect fit comfortable even walking concrete floors 10 hours look good feel sturdy excellent product amazing value,10,0
16,Monday,31,8,2015,Dr. Marten's Women's 1460 Black Patent Lamper Boots,Shoes,five stars good,10,0
17,Monday,31,8,2015,Skechers Performance Women's Go Walk Extend Slip-On Walking Shoe,Shoes,three stars like go walk3 go walk textile hard,6,2
18,Monday,31,8,2015,Hi-Tec Kid's Nepal Waterproof Junior Hiking Boot (Toddler/Little Kid/Big Kid),Shoes,four stars kids love comfort great price,8,0
19,Monday,31,8,2015,Foot Sox Original Sanitary Disposable Try on Socks,Shoes,tissue paper thicker ripped tissue paper thicker ripped putting paid attention reviews,2,2
20,Monday,31,8,2015,RYKA Women's Vida RZX Cross-Training Shoe,Shoes,fit small return next size next size comfortable,8,0
21,Monday,31,8,2015,Teva Women's Kayenta Sandal,Shoes,cute comfy cute comfy,10,0
22,Monday,31,8,2015,Studded Flat Top Sunglasses Bold Square DG Fashion Sunglasses Unisex,Shoes,five stars absolutely love,10,0
