product_key,time_key,review_comment,vote_score,rating
90,46,five stars love excellent sun block,0,10
5,46,thank alba bontanica great thing cream doesnt smell weird like chemical laden ones get nice healthy unfake looking tan isnt orange makes skin soft,0,10
39,46,five stars great product im 65 years old claims,0,10
30,46,good deal use shower caps conditioning caps like theyre bulk saves lot money,0,10
14,46,soaks quick provides nice base makeup goto daily sunblock leaves white cast clean pleasant scent youre makeup wearer soaks quick provides nice base makeup ive using brand year daily use tube last couple months,0,10
66,46,four stars good,0,8
24,46,good buy great eyeliner run little bit corners times overall keep eyes day long,0,10
13,46,five stars best makeup remover,0,10
17,46,tame wild mustache great product im latest stab major beard always seem start growing hottest months mustache going particularly awkward phase growth wax really helps keep place way look neater actually eat drink without collecting big mess youre going get favor get good mustache comb,0,10
61,46,like nothing thought would darken lashes even though clear like nothing sadly threw away,0,2
3,46,good product great small mixtures eos especially traveling gave 4 stars orifice reducer hole small hard get oil needs slightly bigger,1,8
96,46,optimum oral health got nice size compact looking forward gum massaging wore last model,0,10
79,46,love cream wish discovered years ago leaves curles super defined soft still need put gel spray last though super recommend,1,8
83,46,works much better store bought lotion bought make lotion mixed shea butter coconut oil together works much better store bought lotion want get raw cocoa butter mix next batch,0,10
41,46,five stars tint awesome seller dont even send one sample,0,10
94,46,great product fast delivery im love unique fits decor beautifully couldnt ask better seller received product date promised,1,10
52,46,smell cheap given product exchange review say wow love perfume great scent notes little heavy really like overall get headaches easily doesnt seem smell cheap wonderful fragrance lot money love give try,3,10
57,46,five stars magical everybody noticed skin change right away,0,10
82,46,love razortrimmer works fantastic razor leaves legs really smooth unlike disposable razors ive used razor runs acrossed skin smoothly dont feel like anything trimmer trimmer trims meant skin shave gets close enough run razor boom smooth,0,10
71,46,five stars excellent battery tooth brush,0,10
89,46,works okay styling aid doesnt give straight hair fun beachy look tresemme product creating beachy looking hair whether curly straight hair straight hair without real body beachy look isnt good look unlike younger years loosely permed hair hair would look great beach even swimming ocean half day tried twisting hair styling per instructions straight hair didnt look good hair ended looking stringy sloppy unstyled fair dont think spray product could give awesome beachy look due straight hair typebr br spray tresemme damp hair blow dry usual round brush adds little lift volume texture straight hair one product add routine doesnt substitute hair gel product still need finish zero weight gel shaping hair separation taming flyaway hairs tresemme may work great curly wavy hair straight hair doesnt create attractive beachy look work okay styling aid one product add routine live without okay,0,6
54,46,5 stars skin feels soft smooth since using,0,10
91,46,even dentist didnt know dry mouth lozenges solve problem night dont take anyones opinion including mine invest one box find truth,0,8
65,46,great shave ditch plastic great shave,0,10
16,46,great sensitive eye cream perfect lightweight eye cream sensitive well extra bonus know sensitive eye area going continue using eye cream,0,10
31,46,fun item love different tip sizes,0,10
43,46,two stars expected,0,4
4,46,great lashes great bargain love lashes another great dupe red cherry lashes,0,10
33,46,great product great value great product great value gone first bottle best benzoyl peroxide product ever used pump bottle nice feature,0,10
77,46,use get another one sonicare brushes use get another one sonicare brushes model would die 3 months found brush cheaper one using one works well havent die many months ive well worth money,0,10
35,46,theyre okay powder puffs pretty much okay wish fluffier bigger,0,8
