time_key,day,month,year
1,1,4,2008
2,13,12,2008
3,30,10,2009
4,14,12,2009
5,18,1,2010
6,27,4,2010
7,8,5,2010
8,9,7,2010
9,18,8,2010
10,17,10,2010
11,3,1,2011
12,11,4,2011
13,7,5,2011
14,23,5,2011
15,24,6,2011
16,21,7,2011
17,1,9,2011
18,31,10,2011
19,20,2,2012
20,20,5,2012
21,17,8,2012
22,16,10,2012
23,11,2,2013
24,21,3,2013
25,18,4,2013
26,20,6,2013
27,6,7,2013
28,21,8,2013
29,9,1,2014
30,16,1,2014
31,3,4,2014
32,11,5,2014
33,4,6,2014
34,7,8,2014
35,10,8,2014
36,11,8,2014
37,22,8,2014
38,9,11,2014
39,31,12,2014
40,1,1,2015
41,14,3,2015
42,13,5,2015
43,1,6,2015
44,6,8,2015
45,20,8,2015
46,31,8,2015
47,1,9,2015
48,11,9,2015
49,18,9,2015
50,22,9,2015
51,14,10,2015
52,3,11,2015
53,4,11,2015
54,14,11,2015
55,15,11,2015
56,28,11,2015
57,14,12,2015
58,12,1,2016
59,13,2,2016
60,3,4,2016
61,27,4,2016
62,28,4,2016
63,27,5,2016
64,1,6,2016
65,19,6,2016
66,5,7,2016
67,6,7,2016
68,18,7,2016
69,9,8,2016
70,23,8,2016
71,21,9,2016
72,25,9,2016
73,13,10,2016
74,27,11,2016
75,8,12,2016
76,18,12,2016
77,27,12,2016
78,3,1,2017
79,12,1,2017
80,13,1,2017
81,19,1,2017
82,28,1,2017
83,2,3,2017
84,7,3,2017
85,9,3,2017
86,15,3,2017
87,23,3,2017
88,17,4,2017
89,24,4,2017
90,8,6,2017
91,29,6,2017
92,7,9,2017
93,16,9,2017
94,22,9,2017
95,5,10,2017
96,24,10,2017
97,26,10,2017
